Groupe d'aliments,Famille,Substance,Contribution_MB
Pain et panification sèche,Contaminants inorganiques et minéraux,Arsenic,5
Céréales pour petit déjeuner,Contaminants inorganiques et minéraux,Arsenic,0
Pâtes,Contaminants inorganiques et minéraux,Arsenic,1
Riz et blé dur ou concassé,Contaminants inorganiques et minéraux,Arsenic,1
Viennoiserie,Contaminants inorganiques et minéraux,Arsenic,0
Biscuits sucrés ou salés et barres,Contaminants inorganiques et minéraux,Arsenic,0
Pâtisseries et gâteaux,Contaminants inorganiques et minéraux,Arsenic,1
Lait,Contaminants inorganiques et minéraux,Arsenic,2
Ultra-frais laitier,Contaminants inorganiques et minéraux,Arsenic,2
Fromages,Contaminants inorganiques et minéraux,Arsenic,1
Oeufs et dérivés,Contaminants inorganiques et minéraux,Arsenic,0
Beurre,Contaminants inorganiques et minéraux,Arsenic,0
Huile,Contaminants inorganiques et minéraux,Arsenic,0
Margarine,Contaminants inorganiques et minéraux,Arsenic,0
Viande,Contaminants inorganiques et minéraux,Arsenic,2
Volaille et gibier,Contaminants inorganiques et minéraux,Arsenic,1
Abats,Contaminants inorganiques et minéraux,Arsenic,0
Charcuterie,Contaminants inorganiques et minéraux,Arsenic,2
Poissons,Contaminants inorganiques et minéraux,Arsenic,30
Crustacés et mollusques,Contaminants inorganiques et minéraux,Arsenic,17
Légumes (hors pomme de terre),Contaminants inorganiques et minéraux,Arsenic,2
Pommes de terre et apparentés,Contaminants inorganiques et minéraux,Arsenic,1
Légumes secs,Contaminants inorganiques et minéraux,Arsenic,0
Fruits,Contaminants inorganiques et minéraux,Arsenic,2
Fruits secs et graines oléagineuses,Contaminants inorganiques et minéraux,Arsenic,0
Glaces et desserts glacés,Contaminants inorganiques et minéraux,Arsenic,0
Chocolat,Contaminants inorganiques et minéraux,Arsenic,1
Sucres et dérivés,Contaminants inorganiques et minéraux,Arsenic,1
Eaux,Contaminants inorganiques et minéraux,Arsenic,8
Boissons fraîches sans alcool,Contaminants inorganiques et minéraux,Arsenic,1
Boissons alcoolisées,Contaminants inorganiques et minéraux,Arsenic,2
Café,Contaminants inorganiques et minéraux,Arsenic,5
Autres boissons chaudes,Contaminants inorganiques et minéraux,Arsenic,2
"Pizzas, quiches et pâtisseries salées",Contaminants inorganiques et minéraux,Arsenic,1
"Sandwiches, casse-croûte",Contaminants inorganiques et minéraux,Arsenic,1
Soupes et bouillons,Contaminants inorganiques et minéraux,Arsenic,2
Plats composés,Contaminants inorganiques et minéraux,Arsenic,3
"Entremets, crèmes desserts et laits gélifiés",Contaminants inorganiques et minéraux,Arsenic,1
Compotes et fruits cuits,Contaminants inorganiques et minéraux,Arsenic,0
Condiments et sauces,Contaminants inorganiques et minéraux,Arsenic,1
Aliments particuliers,Contaminants inorganiques et minéraux,Arsenic,0
Pain et panification sèche,Contaminants inorganiques et minéraux,Plomb,13
Céréales pour petit déjeuner,Contaminants inorganiques et minéraux,Plomb,0
Pâtes,Contaminants inorganiques et minéraux,Plomb,1
Riz et blé dur ou concassé,Contaminants inorganiques et minéraux,Plomb,0
Viennoiserie,Contaminants inorganiques et minéraux,Plomb,1
Biscuits sucrés ou salés et barres,Contaminants inorganiques et minéraux,Plomb,1
Pâtisseries et gâteaux,Contaminants inorganiques et minéraux,Plomb,1
Lait,Contaminants inorganiques et minéraux,Plomb,4
Ultra-frais laitier,Contaminants inorganiques et minéraux,Plomb,2
Fromages,Contaminants inorganiques et minéraux,Plomb,1
Oeufs et dérivés,Contaminants inorganiques et minéraux,Plomb,0
Beurre,Contaminants inorganiques et minéraux,Plomb,1
Huile,Contaminants inorganiques et minéraux,Plomb,0
Margarine,Contaminants inorganiques et minéraux,Plomb,0
Viande,Contaminants inorganiques et minéraux,Plomb,3
Volaille et gibier,Contaminants inorganiques et minéraux,Plomb,1
Abats,Contaminants inorganiques et minéraux,Plomb,0
Charcuterie,Contaminants inorganiques et minéraux,Plomb,2
Poissons,Contaminants inorganiques et minéraux,Plomb,0
Crustacés et mollusques,Contaminants inorganiques et minéraux,Plomb,3
Légumes (hors pomme de terre),Contaminants inorganiques et minéraux,Plomb,7
Pommes de terre et apparentés,Contaminants inorganiques et minéraux,Plomb,2
Légumes secs,Contaminants inorganiques et minéraux,Plomb,1
Fruits,Contaminants inorganiques et minéraux,Plomb,4
Fruits secs et graines oléagineuses,Contaminants inorganiques et minéraux,Plomb,0
Glaces et desserts glacés,Contaminants inorganiques et minéraux,Plomb,1
Chocolat,Contaminants inorganiques et minéraux,Plomb,1
Sucres et dérivés,Contaminants inorganiques et minéraux,Plomb,1
Eaux,Contaminants inorganiques et minéraux,Plomb,11
Boissons fraîches sans alcool,Contaminants inorganiques et minéraux,Plomb,4
Boissons alcoolisées,Contaminants inorganiques et minéraux,Plomb,14
Café,Contaminants inorganiques et minéraux,Plomb,5
Autres boissons chaudes,Contaminants inorganiques et minéraux,Plomb,3
"Pizzas, quiches et pâtisseries salées",Contaminants inorganiques et minéraux,Plomb,1
"Sandwiches, casse-croûte",Contaminants inorganiques et minéraux,Plomb,1
Soupes et bouillons,Contaminants inorganiques et minéraux,Plomb,3
Plats composés,Contaminants inorganiques et minéraux,Plomb,2
"Entremets, crèmes desserts et laits gélifiés",Contaminants inorganiques et minéraux,Plomb,1
Compotes et fruits cuits,Contaminants inorganiques et minéraux,Plomb,1
Condiments et sauces,Contaminants inorganiques et minéraux,Plomb,1
Aliments particuliers,Contaminants inorganiques et minéraux,Plomb,0
Pain et panification sèche,Contaminants inorganiques et minéraux,Cadmium,22
Céréales pour petit déjeuner,Contaminants inorganiques et minéraux,Cadmium,0
Pâtes,Contaminants inorganiques et minéraux,Cadmium,6
Riz et blé dur ou concassé,Contaminants inorganiques et minéraux,Cadmium,2
Viennoiserie,Contaminants inorganiques et minéraux,Cadmium,1
Biscuits sucrés ou salés et barres,Contaminants inorganiques et minéraux,Cadmium,2
Pâtisseries et gâteaux,Contaminants inorganiques et minéraux,Cadmium,2
Lait,Contaminants inorganiques et minéraux,Cadmium,1
Ultra-frais laitier,Contaminants inorganiques et minéraux,Cadmium,1
Fromages,Contaminants inorganiques et minéraux,Cadmium,1
Oeufs et dérivés,Contaminants inorganiques et minéraux,Cadmium,0
Beurre,Contaminants inorganiques et minéraux,Cadmium,0
Huile,Contaminants inorganiques et minéraux,Cadmium,0
Margarine,Contaminants inorganiques et minéraux,Cadmium,0
Viande,Contaminants inorganiques et minéraux,Cadmium,0
Volaille et gibier,Contaminants inorganiques et minéraux,Cadmium,0
Abats,Contaminants inorganiques et minéraux,Cadmium,1
Charcuterie,Contaminants inorganiques et minéraux,Cadmium,1
Poissons,Contaminants inorganiques et minéraux,Cadmium,1
Crustacés et mollusques,Contaminants inorganiques et minéraux,Cadmium,5
Légumes (hors pomme de terre),Contaminants inorganiques et minéraux,Cadmium,10
Pommes de terre et apparentés,Contaminants inorganiques et minéraux,Cadmium,12
Légumes secs,Contaminants inorganiques et minéraux,Cadmium,1
Fruits,Contaminants inorganiques et minéraux,Cadmium,2
Fruits secs et graines oléagineuses,Contaminants inorganiques et minéraux,Cadmium,1
Glaces et desserts glacés,Contaminants inorganiques et minéraux,Cadmium,1
Chocolat,Contaminants inorganiques et minéraux,Cadmium,1
Sucres et dérivés,Contaminants inorganiques et minéraux,Cadmium,3
Eaux,Contaminants inorganiques et minéraux,Cadmium,3
Boissons fraîches sans alcool,Contaminants inorganiques et minéraux,Cadmium,1
Boissons alcoolisées,Contaminants inorganiques et minéraux,Cadmium,1
Café,Contaminants inorganiques et minéraux,Cadmium,2
Autres boissons chaudes,Contaminants inorganiques et minéraux,Cadmium,1
"Pizzas, quiches et pâtisseries salées",Contaminants inorganiques et minéraux,Cadmium,2
"Sandwiches, casse-croûte",Contaminants inorganiques et minéraux,Cadmium,1
Soupes et bouillons,Contaminants inorganiques et minéraux,Cadmium,3
Plats composés,Contaminants inorganiques et minéraux,Cadmium,5
"Entremets, crèmes desserts et laits gélifiés",Contaminants inorganiques et minéraux,Cadmium,2
Compotes et fruits cuits,Contaminants inorganiques et minéraux,Cadmium,1
Condiments et sauces,Contaminants inorganiques et minéraux,Cadmium,1
Aliments particuliers,Contaminants inorganiques et minéraux,Cadmium,0
Pain et panification sèche,Contaminants inorganiques et minéraux,Aluminium,9
Céréales pour petit déjeuner,Contaminants inorganiques et minéraux,Aluminium,0
Pâtes,Contaminants inorganiques et minéraux,Aluminium,5
Riz et blé dur ou concassé,Contaminants inorganiques et minéraux,Aluminium,0
Viennoiserie,Contaminants inorganiques et minéraux,Aluminium,1
Biscuits sucrés ou salés et barres,Contaminants inorganiques et minéraux,Aluminium,2
Pâtisseries et gâteaux,Contaminants inorganiques et minéraux,Aluminium,4
Lait,Contaminants inorganiques et minéraux,Aluminium,2
Ultra-frais laitier,Contaminants inorganiques et minéraux,Aluminium,2
Fromages,Contaminants inorganiques et minéraux,Aluminium,0
Oeufs et dérivés,Contaminants inorganiques et minéraux,Aluminium,0
Beurre,Contaminants inorganiques et minéraux,Aluminium,1
Huile,Contaminants inorganiques et minéraux,Aluminium,0
Margarine,Contaminants inorganiques et minéraux,Aluminium,0
Viande,Contaminants inorganiques et minéraux,Aluminium,1
Volaille et gibier,Contaminants inorganiques et minéraux,Aluminium,1
Abats,Contaminants inorganiques et minéraux,Aluminium,0
Charcuterie,Contaminants inorganiques et minéraux,Aluminium,2
Poissons,Contaminants inorganiques et minéraux,Aluminium,1
Crustacés et mollusques,Contaminants inorganiques et minéraux,Aluminium,3
Légumes (hors pomme de terre),Contaminants inorganiques et minéraux,Aluminium,11
Pommes de terre et apparentés,Contaminants inorganiques et minéraux,Aluminium,1
Légumes secs,Contaminants inorganiques et minéraux,Aluminium,1
Fruits,Contaminants inorganiques et minéraux,Aluminium,4
Fruits secs et graines oléagineuses,Contaminants inorganiques et minéraux,Aluminium,0
Glaces et desserts glacés,Contaminants inorganiques et minéraux,Aluminium,1
Chocolat,Contaminants inorganiques et minéraux,Aluminium,3
Sucres et dérivés,Contaminants inorganiques et minéraux,Aluminium,1
Eaux,Contaminants inorganiques et minéraux,Aluminium,5
Boissons fraîches sans alcool,Contaminants inorganiques et minéraux,Aluminium,2
Boissons alcoolisées,Contaminants inorganiques et minéraux,Aluminium,4
Café,Contaminants inorganiques et minéraux,Aluminium,3
Autres boissons chaudes,Contaminants inorganiques et minéraux,Aluminium,13
"Pizzas, quiches et pâtisseries salées",Contaminants inorganiques et minéraux,Aluminium,3
"Sandwiches, casse-croûte",Contaminants inorganiques et minéraux,Aluminium,1
Soupes et bouillons,Contaminants inorganiques et minéraux,Aluminium,3
Plats composés,Contaminants inorganiques et minéraux,Aluminium,4
"Entremets, crèmes desserts et laits gélifiés",Contaminants inorganiques et minéraux,Aluminium,3
Compotes et fruits cuits,Contaminants inorganiques et minéraux,Aluminium,1
Condiments et sauces,Contaminants inorganiques et minéraux,Aluminium,1
Aliments particuliers,Contaminants inorganiques et minéraux,Aluminium,0
Pain et panification sèche,Contaminants inorganiques et minéraux,Baryum,20
Céréales pour petit déjeuner,Contaminants inorganiques et minéraux,Baryum,3
Pâtes,Contaminants inorganiques et minéraux,Baryum,5
Riz et blé dur ou concassé,Contaminants inorganiques et minéraux,Baryum,1
Viennoiserie,Contaminants inorganiques et minéraux,Baryum,1
Biscuits sucrés ou salés et barres,Contaminants inorganiques et minéraux,Baryum,1
Pâtisseries et gâteaux,Contaminants inorganiques et minéraux,Baryum,3
Lait,Contaminants inorganiques et minéraux,Baryum,2
Ultra-frais laitier,Contaminants inorganiques et minéraux,Baryum,2
Fromages,Contaminants inorganiques et minéraux,Baryum,3
Oeufs et dérivés,Contaminants inorganiques et minéraux,Baryum,1
Beurre,Contaminants inorganiques et minéraux,Baryum,0
Huile,Contaminants inorganiques et minéraux,Baryum,0
Margarine,Contaminants inorganiques et minéraux,Baryum,0
Viande,Contaminants inorganiques et minéraux,Baryum,1
Volaille et gibier,Contaminants inorganiques et minéraux,Baryum,0
Abats,Contaminants inorganiques et minéraux,Baryum,0
Charcuterie,Contaminants inorganiques et minéraux,Baryum,0
Poissons,Contaminants inorganiques et minéraux,Baryum,0
Crustacés et mollusques,Contaminants inorganiques et minéraux,Baryum,0
Légumes (hors pomme de terre),Contaminants inorganiques et minéraux,Baryum,8
Pommes de terre et apparentés,Contaminants inorganiques et minéraux,Baryum,1
Légumes secs,Contaminants inorganiques et minéraux,Baryum,2
Fruits,Contaminants inorganiques et minéraux,Baryum,7
Fruits secs et graines oléagineuses,Contaminants inorganiques et minéraux,Baryum,1
Glaces et desserts glacés,Contaminants inorganiques et minéraux,Baryum,1
Chocolat,Contaminants inorganiques et minéraux,Baryum,2
Sucres et dérivés,Contaminants inorganiques et minéraux,Baryum,1
Eaux,Contaminants inorganiques et minéraux,Baryum,7
Boissons fraîches sans alcool,Contaminants inorganiques et minéraux,Baryum,3
Boissons alcoolisées,Contaminants inorganiques et minéraux,Baryum,3
Café,Contaminants inorganiques et minéraux,Baryum,3
Autres boissons chaudes,Contaminants inorganiques et minéraux,Baryum,2
"Pizzas, quiches et pâtisseries salées",Contaminants inorganiques et minéraux,Baryum,2
"Sandwiches, casse-croûte",Contaminants inorganiques et minéraux,Baryum,1
Soupes et bouillons,Contaminants inorganiques et minéraux,Baryum,3
Plats composés,Contaminants inorganiques et minéraux,Baryum,3
"Entremets, crèmes desserts et laits gélifiés",Contaminants inorganiques et minéraux,Baryum,2
Compotes et fruits cuits,Contaminants inorganiques et minéraux,Baryum,1
Condiments et sauces,Contaminants inorganiques et minéraux,Baryum,1
Aliments particuliers,Contaminants inorganiques et minéraux,Baryum,0
Pain et panification sèche,Contaminants inorganiques et minéraux,Etain,0
Céréales pour petit déjeuner,Contaminants inorganiques et minéraux,Etain,0
Pâtes,Contaminants inorganiques et minéraux,Etain,0
Riz et blé dur ou concassé,Contaminants inorganiques et minéraux,Etain,0
Viennoiserie,Contaminants inorganiques et minéraux,Etain,0
Biscuits sucrés ou salés et barres,Contaminants inorganiques et minéraux,Etain,0
Pâtisseries et gâteaux,Contaminants inorganiques et minéraux,Etain,1
Lait,Contaminants inorganiques et minéraux,Etain,0
Ultra-frais laitier,Contaminants inorganiques et minéraux,Etain,2
Fromages,Contaminants inorganiques et minéraux,Etain,10
Oeufs et dérivés,Contaminants inorganiques et minéraux,Etain,0
Beurre,Contaminants inorganiques et minéraux,Etain,0
Huile,Contaminants inorganiques et minéraux,Etain,0
Margarine,Contaminants inorganiques et minéraux,Etain,0
Viande,Contaminants inorganiques et minéraux,Etain,1
Volaille et gibier,Contaminants inorganiques et minéraux,Etain,0
Abats,Contaminants inorganiques et minéraux,Etain,0
Charcuterie,Contaminants inorganiques et minéraux,Etain,0
Poissons,Contaminants inorganiques et minéraux,Etain,0
Crustacés et mollusques,Contaminants inorganiques et minéraux,Etain,0
Légumes (hors pomme de terre),Contaminants inorganiques et minéraux,Etain,12
Pommes de terre et apparentés,Contaminants inorganiques et minéraux,Etain,1
Légumes secs,Contaminants inorganiques et minéraux,Etain,0
Fruits,Contaminants inorganiques et minéraux,Etain,20
Fruits secs et graines oléagineuses,Contaminants inorganiques et minéraux,Etain,0
Glaces et desserts glacés,Contaminants inorganiques et minéraux,Etain,0
Chocolat,Contaminants inorganiques et minéraux,Etain,0
Sucres et dérivés,Contaminants inorganiques et minéraux,Etain,9
Eaux,Contaminants inorganiques et minéraux,Etain,0
Boissons fraîches sans alcool,Contaminants inorganiques et minéraux,Etain,0
Boissons alcoolisées,Contaminants inorganiques et minéraux,Etain,0
Café,Contaminants inorganiques et minéraux,Etain,1
Autres boissons chaudes,Contaminants inorganiques et minéraux,Etain,0
"Pizzas, quiches et pâtisseries salées",Contaminants inorganiques et minéraux,Etain,1
"Sandwiches, casse-croûte",Contaminants inorganiques et minéraux,Etain,0
Soupes et bouillons,Contaminants inorganiques et minéraux,Etain,0
Plats composés,Contaminants inorganiques et minéraux,Etain,2
"Entremets, crèmes desserts et laits gélifiés",Contaminants inorganiques et minéraux,Etain,2
Compotes et fruits cuits,Contaminants inorganiques et minéraux,Etain,33
Condiments et sauces,Contaminants inorganiques et minéraux,Etain,2
Aliments particuliers,Contaminants inorganiques et minéraux,Etain,0
Pain et panification sèche,Contaminants inorganiques et minéraux,Strontium,5
Céréales pour petit déjeuner,Contaminants inorganiques et minéraux,Strontium,0
Pâtes,Contaminants inorganiques et minéraux,Strontium,2
Riz et blé dur ou concassé,Contaminants inorganiques et minéraux,Strontium,1
Viennoiserie,Contaminants inorganiques et minéraux,Strontium,0
Biscuits sucrés ou salés et barres,Contaminants inorganiques et minéraux,Strontium,1
Pâtisseries et gâteaux,Contaminants inorganiques et minéraux,Strontium,1
Lait,Contaminants inorganiques et minéraux,Strontium,2
Ultra-frais laitier,Contaminants inorganiques et minéraux,Strontium,2
Fromages,Contaminants inorganiques et minéraux,Strontium,3
Oeufs et dérivés,Contaminants inorganiques et minéraux,Strontium,0
Beurre,Contaminants inorganiques et minéraux,Strontium,0
Huile,Contaminants inorganiques et minéraux,Strontium,0
Margarine,Contaminants inorganiques et minéraux,Strontium,0
Viande,Contaminants inorganiques et minéraux,Strontium,0
Volaille et gibier,Contaminants inorganiques et minéraux,Strontium,0
Abats,Contaminants inorganiques et minéraux,Strontium,0
Charcuterie,Contaminants inorganiques et minéraux,Strontium,0
Poissons,Contaminants inorganiques et minéraux,Strontium,1
Crustacés et mollusques,Contaminants inorganiques et minéraux,Strontium,3
Légumes (hors pomme de terre),Contaminants inorganiques et minéraux,Strontium,9
Pommes de terre et apparentés,Contaminants inorganiques et minéraux,Strontium,1
Légumes secs,Contaminants inorganiques et minéraux,Strontium,1
Fruits,Contaminants inorganiques et minéraux,Strontium,4
Fruits secs et graines oléagineuses,Contaminants inorganiques et minéraux,Strontium,1
Glaces et desserts glacés,Contaminants inorganiques et minéraux,Strontium,1
Chocolat,Contaminants inorganiques et minéraux,Strontium,1
Sucres et dérivés,Contaminants inorganiques et minéraux,Strontium,0
Eaux,Contaminants inorganiques et minéraux,Strontium,40
Boissons fraîches sans alcool,Contaminants inorganiques et minéraux,Strontium,3
Boissons alcoolisées,Contaminants inorganiques et minéraux,Strontium,1
Café,Contaminants inorganiques et minéraux,Strontium,3
Autres boissons chaudes,Contaminants inorganiques et minéraux,Strontium,3
"Pizzas, quiches et pâtisseries salées",Contaminants inorganiques et minéraux,Strontium,1
"Sandwiches, casse-croûte",Contaminants inorganiques et minéraux,Strontium,1
Soupes et bouillons,Contaminants inorganiques et minéraux,Strontium,3
Plats composés,Contaminants inorganiques et minéraux,Strontium,3
"Entremets, crèmes desserts et laits gélifiés",Contaminants inorganiques et minéraux,Strontium,1
Compotes et fruits cuits,Contaminants inorganiques et minéraux,Strontium,0
Condiments et sauces,Contaminants inorganiques et minéraux,Strontium,1
Aliments particuliers,Contaminants inorganiques et minéraux,Strontium,0
Pain et panification sèche,Contaminants inorganiques et minéraux,Vanadium,9
Céréales pour petit déjeuner,Contaminants inorganiques et minéraux,Vanadium,0
Pâtes,Contaminants inorganiques et minéraux,Vanadium,1
Riz et blé dur ou concassé,Contaminants inorganiques et minéraux,Vanadium,1
Viennoiserie,Contaminants inorganiques et minéraux,Vanadium,1
Biscuits sucrés ou salés et barres,Contaminants inorganiques et minéraux,Vanadium,1
Pâtisseries et gâteaux,Contaminants inorganiques et minéraux,Vanadium,1
Lait,Contaminants inorganiques et minéraux,Vanadium,2
Ultra-frais laitier,Contaminants inorganiques et minéraux,Vanadium,2
Fromages,Contaminants inorganiques et minéraux,Vanadium,2
Oeufs et dérivés,Contaminants inorganiques et minéraux,Vanadium,1
Beurre,Contaminants inorganiques et minéraux,Vanadium,1
Huile,Contaminants inorganiques et minéraux,Vanadium,0
Margarine,Contaminants inorganiques et minéraux,Vanadium,0
Viande,Contaminants inorganiques et minéraux,Vanadium,1
Volaille et gibier,Contaminants inorganiques et minéraux,Vanadium,1
Abats,Contaminants inorganiques et minéraux,Vanadium,0
Charcuterie,Contaminants inorganiques et minéraux,Vanadium,3
Poissons,Contaminants inorganiques et minéraux,Vanadium,1
Crustacés et mollusques,Contaminants inorganiques et minéraux,Vanadium,1
Légumes (hors pomme de terre),Contaminants inorganiques et minéraux,Vanadium,4
Pommes de terre et apparentés,Contaminants inorganiques et minéraux,Vanadium,1
Légumes secs,Contaminants inorganiques et minéraux,Vanadium,0
Fruits,Contaminants inorganiques et minéraux,Vanadium,4
Fruits secs et graines oléagineuses,Contaminants inorganiques et minéraux,Vanadium,0
Glaces et desserts glacés,Contaminants inorganiques et minéraux,Vanadium,0
Chocolat,Contaminants inorganiques et minéraux,Vanadium,1
Sucres et dérivés,Contaminants inorganiques et minéraux,Vanadium,1
Eaux,Contaminants inorganiques et minéraux,Vanadium,20
Boissons fraîches sans alcool,Contaminants inorganiques et minéraux,Vanadium,3
Boissons alcoolisées,Contaminants inorganiques et minéraux,Vanadium,15
Café,Contaminants inorganiques et minéraux,Vanadium,6
Autres boissons chaudes,Contaminants inorganiques et minéraux,Vanadium,3
"Pizzas, quiches et pâtisseries salées",Contaminants inorganiques et minéraux,Vanadium,2
