Groupe,Type,Unité,Famille de substances,Aluminium,Antimoine,Argent,Arsenic,Baryum,Cadmium,Calcium,Chromium,Cobalt,Cuivre,Etain,Fer,Gallium,Germanium,Lithium,Magnésium,Manganese,Mercure,Molybdène,Nickel,Plomb,Potassium,Selenium,Sodium,Strontium,Tellure,Vanadium,Zinc
Abats,R,µg/g,Contaminants inorg et minéraux,0.5545,0.00170125,0.45119375,0.02038125,0.0506249999999999,0.05263125,107.5375,0.239125,0.09060625,112.71875,0.01804625,60.758125,0.00016125,0.005126875,0.00410874999999999,291.6875,2.666875,0.0,1.00975,0.07520625,0.019796875,3742.5,0.327625,1181.1875,0.0731,0.0022925,0.03289375,64.0125
Aliments destinés à une alimentaire particulière,N,µg/g,Contaminants inorg et minéraux,5.605,0.00125,0.0,0.0162,0.8235,0.0229,801.5,0.222,0.0158,2.32,0.0169,29.0,0.0,0.0015,0.0373,1340.0,8.87999999999999,0.0,0.44,0.3505,0.01995,1695.0,0.0,1390.0,2.715,0.00136,0.0384,16.6
Autres boissons chaudes,R,µg/g,Contaminants inorg et minéraux,3.06249166666666,0.00154922916666666,0.0353270833333333,0.00964666666666666,0.208787083333333,0.00244257083333333,603.617083333333,0.0987060416666666,0.0138769166666666,0.747280833333333,0.00945712499999999,4.44049166666666,0.0,0.00124845833333333,0.03001375,150.850416666666,1.01356666666666,0.000645833333333333,0.028838125,0.164912083333333,0.00593666666666666,1247.04916666666,0.0,243.34,0.497464583333333,0.000751666666666666,0.018080625,2.59745833333333
Beurre,N,µg/g,Contaminants inorg et minéraux,2.02266666666666,0.001215,0.042,0.0194166666666666,0.166466666666666,0.000813333333333333,185.333333333333,0.635833333333333,0.0454466666666666,0.192083333333333,0.0169733333333333,0.8435,0.0147666666666666,0.00836166666666666,0.00869333333333333,31.65,0.0381333333333333,0.00166666666666666,0.0397833333333333,0.06705,0.00986553966666666,382.0,0.0333333333333333,3495.0,0.238433333333333,0.023865,0.0669166666666666,0.579333333333333
Biscuits sucrés ou salés et barres,N,µg/g,Contaminants inorg et minéraux,4.54,0.00243625,0.099375,0.0270875,0.669375,0.02111375,422.25,0.3187875,0.021665,1.515625,0.012225,13.8275,0.0,0.00287625,0.01170125,451.0,4.4975,0.00125,0.2874375,0.244325,0.0123212499999999,3040.0,0.0,4313.125,1.059,0.0021625,0.0415125,5.69875
Biscuits sucrés ou salés et barres,R,µg/g,Contaminants inorg et minéraux,1.8331875,0.00083125,0.073975,0.02238125,0.2845,0.06500625,241.8125,0.2915625,0.024159375,2.10375,0.02031375,10.675625,0.000125,0.0022975,0.01547375,764.1875,3.280625,0.0,0.158,0.15721875,0.00485875,13032.5,0.0,6179.375,5.580625,0.001625625,0.04273125,8.029375
Boissons alcoolisées,N,µg/g,Contaminants inorg et minéraux,0.736999999999999,0.001178,0.055,0.00849,0.06472,0.0010412,122.08,0.07816,0.002659,0.12084,0.007477,1.0706,0.0,0.0006,0.013313,69.16,0.4084,0.0,0.01672,0.0377,0.00992,623.86,0.0,26.6399999999999,0.15004,0.000858,0.06633,0.3797
Boissons fraîches sans alcool,N,µg/g,Contaminants inorg et minéraux,0.893346153846153,0.000853461538461538,0.0463461538461538,0.0100730769230769,0.126738461538461,0.00177192307692307,91.8923076923076,0.0657653846153846,0.00345730769230769,0.206676923076923,0.0127784615384615,1.13956538461538,0.0,0.00199038461538461,0.00775038461538461,80.3484615384615,1.55304615384615,0.0,0.0262730769230769,0.0648499999999999,0.00638,876.946153846153,0.0,61.3115384615384,0.344273076923076,0.000466538461538461,0.019876923076923,0.372653846153846
Café,R,µg/g,Contaminants inorg et minéraux,0.574833333333333,0.00124233333333333,0.0395233333333333,0.01181,0.115173333333333,0.000865833333333333,245.56,0.0508566666666666,0.0124176666666666,1.87787333333333,0.00960666666666666,0.648133333333333,0.0,0.00134266666666666,0.04418,155.543333333333,0.661999999999999,0.0,0.00854666666666666,0.0789533333333333,0.00342333333333333,1266.06666666666,0.0,44.9966666666666,0.369133333333333,0.000611666666666666,0.01553,0.2838
Charcuterie,R,µg/g,Contaminants inorg et minéraux,2.44907692307692,0.00134977564102564,0.135941328347578,0.0398078347578347,0.108207069088319,0.00941536912393162,143.327332621082,0.413837054843304,0.0066977938034188,1.98433867521367,0.0356046047008547,17.4542605008903,1.38888888888888e-05,0.00519582799145299,0.00763843482905983,241.867877492877,0.487408725071225,0.00544907407407407,0.0763976317663817,0.109914405270655,0.0142905644586894,3924.78454415954,0.0251346153846153,11218.9601139601,0.303791631054131,0.00258800035612535,0.0792814458689458,22.0887838319088
