Groupe,Type,Unité,Famille de substances,Aluminium,Antimoine,Argent,Arsenic,Baryum,Cadmium,Calcium,Chromium,Cobalt,Cuivre,Etain,Fer,Gallium,Germanium,Lithium,Magnésium,Manganese,Mercure,Molybdène,Nickel,Plomb,Potassium,Selenium,Sodium,Strontium,Tellure,Vanadium,Zinc
Abats,R,µg/g,Contaminants inorg et minéraux,0.465999999999999,0.001654375,0.44331875,0.01944375,0.03515625,0.05263125,107.5375,0.239125,0.09060625,112.71875,0.018093125,60.758125,0.00063,0.0048925,0.00409312499999999,291.6875,2.666875,0.0025,1.00975,0.064440625,0.019875,3742.5,0.3291875,1181.1875,0.072896875,0.00213625,0.03039375,64.0125
Aliments destinés à une alimentaire particulière,N,µg/g,Contaminants inorg et minéraux,5.605,0.001,0.021,0.0162,0.8235,0.0229,801.5,0.222,0.0158,2.32,0.0169,29.0,0.0005,0.001125,0.0373,1340.0,8.87999999999999,0.0025,0.44,0.3505,0.01995,1695.0,0.025,1390.0,2.715,0.00161,0.0384,16.6
Autres boissons chaudes,R,µg/g,Contaminants inorg et minéraux,3.06249166666666,0.00137735416666666,0.0359395833333333,0.00851645833333333,0.193787083333333,0.00238423749999999,603.18875,0.0972060416666666,0.0134935833333333,0.747280833333333,0.009194625,4.44049166666666,0.0005,0.00132502083333333,0.03001375,150.850416666666,1.01356666666666,0.00266145833333333,0.028838125,0.15607875,0.00553041666666666,1247.04916666666,0.025,243.34,0.497464583333333,0.000920416666666666,0.0163722916666666,2.58829166666666
Beurre,N,µg/g,Contaminants inorg et minéraux,2.062,0.00109,0.0315,0.0194166666666666,0.170216666666666,0.000813333333333333,185.333333333333,0.635833333333333,0.04553,0.192083333333333,0.0169733333333333,0.8435,0.0151833333333333,0.00811166666666666,0.00865166666666666,31.65,0.0381333333333333,0.00291666666666666,0.0397833333333333,0.0537999999999999,0.00903220633333333,382.0,0.0333333333333333,3495.0,0.238433333333333,0.0234483333333333,0.0652499999999999,0.579333333333333
Biscuits sucrés ou salés et barres,N,µg/g,Contaminants inorg et minéraux,4.54,0.00231125,0.0915,0.0270875,0.669375,0.02111375,422.25,0.3187875,0.0217275,1.515625,0.0120375,13.8275,0.0005,0.0020325,0.0117325,451.0,4.4975,0.0028125,0.2874375,0.245981249999999,0.0120087499999999,3040.0,0.025,4313.125,1.059,0.001725,0.0390125,5.69875
Biscuits sucrés ou salés et barres,R,µg/g,Contaminants inorg et minéraux,1.8553125,0.000721875,0.07135,0.02238125,0.2845,0.06500625,241.8125,0.2915625,0.024159375,2.10375,0.020454375,10.675625,0.00053125,0.001781875,0.01547375,764.1875,3.280625,0.0025,0.158,0.15721875,0.003530625,13032.5,0.025,6179.375,5.580625,0.00159437499999999,0.04148125,8.029375
Boissons alcoolisées,N,µg/g,Contaminants inorg et minéraux,0.6544,0.001078,0.055,0.00649,0.0557199999999999,0.0008912,122.08,0.07816,0.00260899999999999,0.12084,0.00672699999999999,1.07274999999999,0.0005,0.0009,0.013338,69.16,0.406899999999999,0.0025,0.015895,0.041675,0.00892,623.455,0.025,26.6399999999999,0.15069,0.000858,0.06583,0.3697
Boissons fraîches sans alcool,N,µg/g,Contaminants inorg et minéraux,0.829807692307692,0.00067076923076923,0.0350384615384615,0.00997692307692307,0.122411538461538,0.00170461538461538,90.9038461538461,0.0651884615384615,0.00297653846153846,0.206013461538461,0.0123457692307692,1.13625769230769,0.0005,0.00199038461538461,0.00773115384615384,80.1802884615384,1.55362307692307,0.0025,0.0252153846153846,0.0572057692307692,0.00623576923076923,877.024038461538,0.025,60.8846153846153,0.344273076923076,0.000658846153846153,0.0191076923076923,0.365923076923076
Café,R,µg/g,Contaminants inorg et minéraux,0.566966666666666,0.00109233333333333,0.0486233333333333,0.00972666666666666,0.109173333333333,0.000824166666666666,245.131666666666,0.04969,0.0124176666666666,1.87787333333333,0.00928166666666666,0.651,0.0005,0.00174266666666666,0.04418,155.543333333333,0.661999999999999,0.0025,0.00799666666666666,0.07277,0.00283999999999999,1266.06666666666,0.025,44.9966666666666,0.36935,0.000695,0.0158633333333333,0.274633333333333
Charcuterie,R,µg/g,Contaminants inorg et minéraux,2.42008119658119,0.00116873041310541,0.139362802706552,0.0398465633903133,0.0993128383190883,0.00940032282763532,143.327332621082,0.413837054843304,0.00662834935897435,1.98433867521367,0.0355889797008547,17.4542605008903,0.000503472222222222,0.00473255341880341,0.0076349626068376,241.867877492877,0.487486850071225,0.00719097222222222,0.0762957799145299,0.102013007478632,0.0142164458689458,3924.78454415954,0.0401542022792022,11218.9601139601,0.303814200498575,0.00253199964387464,0.0792814458689458,22.0887838319088
