Famille de substances,Groupe,Aliment,Type,Unité,Nom Substance,Substance,LB,UB,MB
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Argent,Ag,0.45119375,0.45119375,0.44331875
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Aluminium,Al,0.5545,0.584,0.46599999999999997
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Arsenic,As,0.02038125,0.02038125,0.01944375
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Baryum,Ba,0.050624999999999996,0.0703125,0.03515625
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Calcium,Ca,107.53750000000001,107.53750000000001,107.53750000000001
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Cadmium,Cd,0.05263125,0.05263125,0.05263125
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Cobalt,Co,0.09060625,0.09060625,0.09060625
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Chromium,Cr,0.239125,0.239125,0.239125
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Cuivre,Cu,112.71875,112.71875,112.71875
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Fer,Fe,60.758125,60.758125,60.758125
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Gallium,Ga,0.00016125,0.00109875,0.00063
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Germanium,Ge,0.005126875,0.005220625,0.0048925
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Mercure,Hg,0.0,0.005,0.0025
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Potassium,K,3742.5,3742.5,3742.5
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Lithium,Li,0.0041087499999999996,0.00414,0.0040931249999999995
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Magnésium,Mg,291.6875,291.6875,291.6875
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Manganese,Mn,2.666875,2.666875,2.666875
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Molybdène,Mo,1.00975,1.00975,1.00975
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Sodium,Na,1181.1875,1181.1875,1181.1875
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Nickel,Ni,0.07520625,0.0768625,0.064440625
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Plomb,Pb,0.019796875000000002,0.019953125000000002,0.019875
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Antimoine,Sb,0.00170125,0.001795,0.001654375
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Selenium,Se,0.327625,0.33075,0.3291875
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Etain,Sn,0.01804625,0.01814,0.018093125
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Strontium,Sr,0.0731,0.07350625,0.072896875
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Tellure,Te,0.0022925000000000003,0.00248,0.00213625
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Vanadium,V,0.03289375,0.03289375,0.03039375
Contaminants inorg et minéraux,Abats,foie,R,µg/g,Zinc,Zn,64.0125,64.0125,64.0125
Contaminants inorg et minéraux,Aliments destinés à une alimentaire particulière,tofu,N,µg/g,Argent,Ag,0.0,0.042,0.021
Contaminants inorg et minéraux,Aliments destinés à une alimentaire particulière,tofu,N,µg/g,Aluminium,Al,5.605,5.605,5.605
Contaminants inorg et minéraux,Aliments destinés à une alimentaire particulière,tofu,N,µg/g,Arsenic,As,0.0162,0.0162,0.0162
Contaminants inorg et minéraux,Aliments destinés à une alimentaire particulière,tofu,N,µg/g,Baryum,Ba,0.8235,0.8235,0.8235
Contaminants inorg et minéraux,Aliments destinés à une alimentaire particulière,tofu,N,µg/g,Calcium,Ca,801.5,801.5,801.5
Contaminants inorg et minéraux,Aliments destinés à une alimentaire particulière,tofu,N,µg/g,Cadmium,Cd,0.0229,0.0229,0.0229
Contaminants inorg et minéraux,Aliments destinés à une alimentaire particulière,tofu,N,µg/g,Cobalt,Co,0.0158,0.0158,0.0158
