Groupe,Type,Unité,Famille de substances,Aluminium,Antimoine,Argent,Arsenic,Baryum,Cadmium,Calcium,Chromium,Cobalt,Cuivre,Etain,Fer,Gallium,Germanium,Lithium,Magnésium,Manganese,Mercure,Molybdène,Nickel,Plomb,Potassium,Selenium,Sodium,Strontium,Tellure,Vanadium,Zinc
Abats,R,µg/g,Contaminants inorg et minéraux,0.584,0.001795,0.45119375,0.02038125,0.0703125,0.05263125,107.5375,0.239125,0.09060625,112.71875,0.01814,60.758125,0.00109875,0.005220625,0.00414,291.6875,2.666875,0.005,1.00975,0.0768625,0.019953125,3742.5,0.33075,1181.1875,0.07350625,0.00248,0.03289375,64.0125
Aliments destinés à une alimentaire particulière,N,µg/g,Contaminants inorg et minéraux,5.605,0.00125,0.042,0.0162,0.8235,0.0229,801.5,0.222,0.0158,2.32,0.0169,29.0,0.001,0.00225,0.0373,1340.0,8.87999999999999,0.005,0.44,0.3505,0.01995,1695.0,0.05,1390.0,2.715,0.00186,0.0384,16.6
Autres boissons chaudes,R,µg/g,Contaminants inorg et minéraux,3.06249166666666,0.00154922916666666,0.0610520833333333,0.01094875,0.211787083333333,0.0025592375,603.617083333333,0.0997060416666666,0.01391025,0.747280833333333,0.009900875,4.44909166666666,0.001,0.00217033333333333,0.03001375,150.850416666666,1.01356666666666,0.00532291666666666,0.0303047916666666,0.16667875,0.00674916666666666,1247.04916666666,0.05,243.34,0.497464583333333,0.00146833333333333,0.0210389583333333,2.599125
Beurre,N,µg/g,Contaminants inorg et minéraux,2.10133333333333,0.00129833333333333,0.063,0.0210833333333333,0.173966666666666,0.00098,185.333333333333,0.635833333333333,0.0456133333333333,0.192083333333333,0.0169733333333333,0.8435,0.0156,0.00886166666666666,0.00877666666666666,31.65,0.0381333333333333,0.00583333333333333,0.0397833333333333,0.06705,0.00986553966666666,382.0,0.0666666666666666,3495.0,0.238433333333333,0.0240316666666666,0.0669166666666666,0.579333333333333
Biscuits sucrés ou salés et barres,N,µg/g,Contaminants inorg et minéraux,4.54,0.00243625,0.115125,0.0270875,0.669375,0.02111375,422.25,0.3187875,0.02179,1.515625,0.012225,13.8275,0.001,0.00306375,0.01176375,451.0,4.4975,0.005625,0.2874375,0.2476375,0.0123212499999999,3040.0,0.05,4313.125,1.059,0.0022875,0.0415125,5.69875
Biscuits sucrés ou salés et barres,R,µg/g,Contaminants inorg et minéraux,1.87743749999999,0.0009875,0.089725,0.02300625,0.2845,0.06500625,241.8125,0.2915625,0.024159375,2.10375,0.020595,10.675625,0.0010625,0.00276625,0.01547375,764.1875,3.280625,0.005,0.158,0.15721875,0.0053275,13032.5,0.05,6179.375,5.580625,0.002063125,0.04273125,8.029375
Boissons alcoolisées,N,µg/g,Contaminants inorg et minéraux,0.760599999999999,0.001278,0.0802,0.00949,0.08272,0.0011412,122.08,0.07816,0.002959,0.12084,0.007477,1.0749,0.001,0.0018,0.013363,69.16,0.4084,0.005,0.01727,0.05625,0.00992,623.86,0.05,26.6399999999999,0.151339999999999,0.00145799999999999,0.06733,0.3897
Boissons fraîches sans alcool,N,µg/g,Contaminants inorg et minéraux,0.947807692307692,0.000988076923076923,0.0657307692307692,0.0121884615384615,0.135392307692307,0.001945,91.8923076923076,0.06615,0.00349576923076923,0.20711923076923,0.013066923076923,1.14287307692307,0.001,0.00291346153846153,0.00775038461538461,80.4605769230769,1.5542,0.005,0.0279653846153846,0.0740230769230769,0.0074376923076923,877.101923076923,0.05,61.3115384615384,0.344273076923076,0.00123576923076923,0.0244923076923076,0.378423076923076
Café,R,µg/g,Contaminants inorg et minéraux,0.6535,0.00127566666666666,0.0689233333333333,0.01231,0.121173333333333,0.00101583333333333,245.56,0.05119,0.0124176666666666,1.87787333333333,0.00985666666666666,0.653866666666666,0.001,0.00234266666666666,0.04418,155.543333333333,0.661999999999999,0.005,0.0111133333333333,0.0824866666666666,0.00442333333333333,1266.06666666666,0.05,44.9966666666666,0.369566666666666,0.00131166666666666,0.01953,0.285466666666666
Charcuterie,R,µg/g,Contaminants inorg et minéraux,2.46218803418803,0.00141467948717948,0.157965900997151,0.039885292022792,0.115498735754985,0.00942231356837606,143.327332621082,0.413837054843304,0.00672094195156695,1.98433867521367,0.0356150213675213,17.4542605008903,0.00100694444444444,0.00538573183760683,0.00764537927350427,241.867877492877,0.487564975071225,0.00988194444444444,0.0764485576923076,0.11130641025641,0.014582142094017,3924.78454415954,0.0657507122507122,11218.9601139601,0.303836769943019,0.00291474537037037,0.0792814458689458,22.0887838319088
